articles.A-B,Adv_Prev_Med,Adv_Prev_Med_2011_Jun_8_2011_281863.nxml,Vitamin D  Sunlight and Prostate Cancer Risk,advances in preventive medicine,RSG-09-175-01-CCE,14,Vitamin D  Sunlight and Prostate Cancer Risk
articles.I-N,Nucleic_Acids_Res,Nucleic_Acids_Res_2006_Oct_10_34(17)_4722-4730.nxml,Site-directed spin labeling measurements of nanometer distances in nucleic acids using a sequence-independent nitroxide probe,nucleic acids research,IRG-58-007-45,86,Site-directed spin labeling measurements of nanometer distances in nucleic acids using a sequence-independent nitroxide probe
articles.I-N,Nucleic_Acids_Res,Nucleic_Acids_Res_2006_Dec_15_34(21)_6337-6344.nxml,Stimulation of MCM helicase activity by a Cdc6 protein in the archaeon Thermoplasma acidophilum,nucleic acids research,RSG-04-050-01-GMC,31,Stimulation of MCM helicase activity by a Cdc6 protein in the archaeon Thermoplasma acidophilum
articles.I-N,Nucleic_Acids_Res,Nucleic_Acids_Res_2006_Sep_26_34(15)_4106-4114.nxml,RecQ helicases: lessons from model organisms,nucleic acids research,PF-01-142-01-CCG,55,RecQ helicases: lessons from model organisms
articles.I-N,Nucleic_Acids_Res,Nucleic_Acids_Res_2006_Apr_28_34(8)_2173-2185.nxml,The molecular mechanism of DNA damage recognition by MutS homologs and its consequences for cell death response,nucleic acids research,RSG-04-187-01-GMC,42,The molecular mechanism of DNA damage recognition by MutS homologs and its consequences for cell death response
articles.I-N,Nucleic_Acids_Res,Nucleic_Acids_Res_2005_Jan_12_33(1)_201-212.nxml,A large-scale analysis of mRNA polyadenylation of human and mouse genes,nucleic acids research,RPG-00-265-01-GMC,398,A large-scale analysis of mRNA polyadenylation of human and mouse genes
articles.I-N,Nucleic_Acids_Res,Nucleic_Acids_Res_2005_Mar_1_33(4)_1298-1308.nxml,Leaky ribosomal scanning in mammalian genomes: significance of histone H4 alternative translation in vivo,nucleic acids research,IRG-58-007-40,24,Leaky ribosomal scanning in mammalian genomes: significance of histone H4 alternative translation in vivo
articles.I-N,Nucleic_Acids_Res,Nucleic_Acids_Res_2006_May_31_34(10)_3057-3066.nxml,Structural analysis of hyperperiodic DNA from Caenorhabditis elegans,nucleic acids research,PF-05-121-01-DDC,25,Structural analysis of hyperperiodic DNA from Caenorhabditis elegans
articles.I-N,Nucleic_Acids_Res,Nucleic_Acids_Res_2012_Jul_30_40(13)_5795-5818.nxml,Homologous recombination and its regulation,nucleic acids research,RSG-12-013-01-CCG,91,Homologous recombination and its regulation
articles.I-N,Nucleic_Acids_Res,Nucleic_Acids_Res_2007_May_22_35(10)_3272-3286.nxml,Defining the mode  energetics and specificity with which a macrocyclic hexaoxazole binds to human telomeric G-quadruplex DNA,nucleic acids research,RSG-99-153-04-CDD,55,Defining the mode  energetics and specificity with which a macrocyclic hexaoxazole binds to human telomeric G-quadruplex DNA
articles.I-N,Nucleic_Acids_Res,Nucleic_Acids_Res_2006_Feb_6_34(3)_840-852.nxml,Molecular models for the tissue specificity of DNA mismatch repair-deficient carcinogenesis,nucleic acids research,CCE-02-153-01,79,Molecular models for the tissue specificity of DNA mismatch repair-deficient carcinogenesis
articles.I-N,Nucleic_Acids_Res,Nucleic_Acids_Res_2006_Apr_13_34(7)_e53.nxml,Polycistronic RNA polymerase II expression vectors for RNA interference based on BIC/miR-155,nucleic acids research,RSG-01-177-01-MGO,246,Polycistronic RNA polymerase II expression vectors for RNA interference based on BIC/miR-155
articles.I-N,Nucleic_Acids_Res,Nucleic_Acids_Res_2008_Mar_9_36(4)_1309-1320.nxml,Coupling of DNA binding and helicase activity is mediated by a conserved loop in the MCM protein,nucleic acids research,RSG-04-050-01-GMC,29,Coupling of DNA binding and helicase activity is mediated by a conserved loop in the MCM protein
articles.I-N,Nucleic_Acids_Res,Nucleic_Acids_Res_2007_Jun_30_35(12)_3928-3944.nxml,Proteomic analysis of in vivo -assembled pre-mRNA splicing complexes expands the catalog of participating factors,nucleic acids research,RSG-05-137-01-MCB,71,Proteomic analysis of in vivo -assembled pre-mRNA splicing complexes expands the catalog of participating factors
articles.I-N,Nucleic_Acids_Res,Nucleic_Acids_Res_2008_May_10_36(8)_2547-2560.nxml,A systematic characterization of factors that regulate Drosophila segmentation via a bacterial one-hybrid system,nucleic acids research,RSG-05-026-01-CCG,80,A systematic characterization of factors that regulate Drosophila segmentation via a bacterial one-hybrid system
articles.I-N,Nucleic_Acids_Res,Nucleic_Acids_Res_2005_Sep_8_33(15)_4940-4950.nxml,Interactions between the archaeal Cdc6 and MCM proteins modulate their biochemical properties,nucleic acids research,RSG-04-050-01-GMC,44,Interactions between the archaeal Cdc6 and MCM proteins modulate their biochemical properties
articles.I-N,Nucleic_Acids_Res,Nucleic_Acids_Res_2005_Jul_1_33(Web_Server_issue)_W184-W187.nxml,GPS: a comprehensive www server for phosphorylation sites prediction,nucleic acids research,RPG-99-173-01,132,GPS: a comprehensive www server for phosphorylation sites prediction
articles.I-N,Nucleic_Acids_Res,Nucleic_Acids_Res_2006_Jul_1_34(Web_Server_issue)_W254-W257.nxml,SUMOsp: a web server for sumoylation site prediction,nucleic acids research,RPG-99-173-01,121,SUMOsp: a web server for sumoylation site prediction
articles.I-N,Nucleic_Acids_Res,Nucleic_Acids_Res_2008_Feb_15_36(3)_732-741.nxml,Developmentally regulated cleavage of tRNAs in the bacterium Streptomyces coelicolor,nucleic acids research,PF-07-058-01-GMC,53,Developmentally regulated cleavage of tRNAs in the bacterium Streptomyces coelicolor
articles.I-N,Nucleic_Acids_Res,Nucleic_Acids_Res_2007_Jan_27_35(Database_issue)_D810-D814.nxml,Organelle DB: an updated resource of eukaryotic protein localization and function,nucleic acids research,RSG-06-179-01-MBC,24,Organelle DB: an updated resource of eukaryotic protein localization and function
articles.I-N,mBio,mBio_2013_Jul_9_4(4)_e00255-13.nxml,Human Innate Immunity to Toxoplasma gondii Is Mediated by Host Caspase-1 and ASC and Parasite GRA15  T.gondii Induction of IL-1 in Human Monocytes,mbio,IRG-98-279-07,6,Human Innate Immunity to Toxoplasma gondii Is Mediated by Host Caspase-1 and ASC and Parasite GRA15  T.gondii Induction of IL-1 in Human Monocytes
articles.I-N,mBio,mBio_2013_May_28_4(3)_e00282-13.nxml,Cyclic di-AMP Is Critical for Listeria monocytogenes Growth  Cell Wall Homeostasis  and Establishment of Infection c-di-AMP in Listeria monocytogenes,mbio,PF-07-066-01-LIB,11,Cyclic di-AMP Is Critical for Listeria monocytogenes Growth  Cell Wall Homeostasis  and Establishment of Infection c-di-AMP in Listeria monocytogenes
articles.I-N,mBio,mBio_2014_Apr_1_5(2)_e01111-13.nxml,Shear Forces Enhance Toxoplasma gondii Tachyzoite Motility on Vascular Endothelium  T.gondii Interactions with Endothelium in Shear Flow,mbio,IRG-98-279-07,0,Shear Forces Enhance Toxoplasma gondii Tachyzoite Motility on Vascular Endothelium  T.gondii Interactions with Endothelium in Shear Flow
articles.I-N,mBio,mBio_2012_Mar_23_3(2)_e00063-12.nxml,Visualization of an Alphaherpesvirus Membrane Protein That Is Essential for Anterograde Axonal Spread of Infection in Neurons Imaging of GFP-Us9 Anterograde Axonal Transport,mbio,PF-10-057-01-MPC,12,Visualization of an Alphaherpesvirus Membrane Protein That Is Essential for Anterograde Axonal Spread of Infection in Neurons Imaging of GFP-Us9 Anterograde Axonal Transport
articles.I-N,Nat_Med,Nat_Med_2012_Feb_6_18(2)_298-301.nxml,Genetic Inactivation of the PRC2 Complex in T-Cell Acute Lymphoblastic Leukemia,nature medicine,RSG0806801,89,Genetic Inactivation of the PRC2 Complex in T-Cell Acute Lymphoblastic Leukemia
articles.I-N,Nat_Med,Nat_Med_2012_Jan_8_18(2)_281-285.nxml,Identification of the Niemann-Pick C1-like 1 cholesterol absorption receptor as a new hepatitis C virus entry factor,nature medicine,RSG-09-076-01-SLU,152,Identification of the Niemann-Pick C1-like 1 cholesterol absorption receptor as a new hepatitis C virus entry factor
articles.I-N,Nat_Med,Nat_Med_2009_Jan_21_15(1)_50-58.nxml,Gamma-secretase inhibitors reverse glucocorticoid resistance in T-ALL,nature medicine,RSG0806801 to I.A.,237,Gamma-secretase inhibitors reverse glucocorticoid resistance in T-ALL
articles.I-N,Int_J_Nanomedicine,Int_J_Nanomedicine_2014_Mar_26_9_1617-1626.nxml,Genetically engineered nanocarriers for drug delivery,international journal of nanomedicine,IRG-58-007-48,1,Genetically engineered nanocarriers for drug delivery
articles.I-N,Int_J_Nanomedicine,Int_J_Nanomedicine_2012_Feb_2_7_591-605.nxml,Impact of nanotechnology in cancer: emphasis on nanochemoprevention,international journal of nanomedicine,MRSG-11-019-01-CNE,29,Impact of nanotechnology in cancer: emphasis on nanochemoprevention
articles.I-N,Nat_Methods,Nat_Methods_2012_Mar_4_9(4)_379-384.nxml,TULIPs: Tunable  light-controlled interacting protein tags for cell biology,nature methods,PF-10-134-01-CCG,46,TULIPs: Tunable  light-controlled interacting protein tags for cell biology
articles.I-N,Nat_Methods,Nat_Methods_2012_Oct_9_9(10)_987-992.nxml,A general approach to break the concentration barrier in single-molecule imaging,nature methods,RSG0823401GMC,17,A general approach to break the concentration barrier in single-molecule imaging
articles.I-N,Mol_Cell,Mol_Cell_2009_Dec_11_36(5)_768-781.nxml,Rrp17p Is a Eukaryotic Exonuclease Required for 5 End Processing of Pre-60S Ribosomal RNA,molecular cell,RSG0404251,30,Rrp17p Is a Eukaryotic Exonuclease Required for 5 End Processing of Pre-60S Ribosomal RNA
articles.I-N,Nurs_Res_Pract,Nurs_Res_Pract_2011_May_5_2011_987924.nxml,Nonresponse Error in Mail Surveys: Top Ten Problems,nursing research and practice,RSG-08-148-01-CPPB,3,Nonresponse Error in Mail Surveys: Top Ten Problems
articles.I-N,J_Biomed_Biotechnol,J_Biomed_Biotechnol_2002_2(2)_75-85.nxml,Homologous Recombination and Its Role in Carcinogenesis,journal of biomedicine and biotechnology,RPG-95-076-04-MGO,39,Homologous recombination and its role in carcinogenesis
articles.I-N,J_Biomed_Biotechnol,J_Biomed_Biotechnol_2011_Oct_27_2011_124595.nxml,Herpesvirus BACs: Past  Present  and Future,journal of biomedicine and biotechnology,IRG-92-032-13,22,Herpesvirus BACs: past  present  and future
articles.I-N,Nat_Struct_Mol_Biol,Nat_Struct_Mol_Biol_2009_Jul_14_16(7)_731-739.nxml,Structural evidence for consecutive Hel308-like modules in the spliceosomal ATPase Brr2,nature structural & molecular biology,RSG-06-165-01-GMC,50,Structural evidence for consecutive Hel308-like modules in the spliceosomal ATPase Brr2
articles.I-N,Nat_Struct_Mol_Biol,Nat_Struct_Mol_Biol_2011_Jun_26_18(7)_761-768.nxml,Chfr and RNF8 synergistically regulate ATM activation,nature structural & molecular biology,RSG-08-125-01-CCG,29,Chfr and RNF8 synergistically regulate ATM activation
articles.I-N,Nat_Struct_Mol_Biol,Nat_Struct_Mol_Biol_2009_Jan_21_16(1)_42-48.nxml,ATP-dependent unwinding of U4/U6 snRNAs by the Brr2 helicase requires the C-terminus of Prp8,nature structural & molecular biology,PF-01-236-01-GMC,55,ATP-dependent unwinding of U4/U6 snRNAs by the Brr2 helicase requires the C-terminus of Prp8
articles.I-N,Nat_Struct_Mol_Biol,Nat_Struct_Mol_Biol_2012_Aug_29_19(8)_773-781.nxml,Mili and Miwi target RNA repertoire reveals piRNA biogenesis and function of Miwi in spermiogenesis,nature structural & molecular biology,IRG-78-002-30,35,Mili and Miwi target RNA repertoire reveals piRNA biogenesis and function of Miwi in spermiogenesis
articles.I-N,Nat_Struct_Mol_Biol,Nat_Struct_Mol_Biol_2013_Jul_16_20(7)_781-788.nxml,Conformational switching of the 26S proteasome enables substrate degradation,nature structural & molecular biology,PF-11-178-01-TBE,24,Conformational switching of the 26S proteasome enables substrate degradation
articles.I-N,Nat_Struct_Mol_Biol,Nat_Struct_Mol_Biol_2013_Dec_3_20(12)_10_1038_nsmb_2706.nxml,Multisite phosphorylation networks as signal processors for Cdk1,nature structural & molecular biology,RSG-12-131-01-CCG,4,Multisite phosphorylation networks as signal processors for Cdk1
articles.I-N,J_Exp_Med,J_Exp_Med_2002_May_6_195(9)_1145-1154.nxml,Hematopoietic Stem Cells Are Uniquely Selective in Their Migratory Response to Chemokines,the journal of experimental medicine,PF-00-017-01-LBC,443,Hematopoietic stem cells are uniquely selective in their migratory response to chemokines
articles.I-N,J_Exp_Med,J_Exp_Med_2010_May_10_207(5)_1045-1056.nxml,The NLRP3 inflammasome functions as a negative regulator of tumorigenesis during colitis-associated cancer NLRP3 suppresses colitis-associated cancer,the journal of experimental medicine,PF-10-053-01-LIB,203,The NLRP3 inflammasome functions as a negative regulator of tumorigenesis during colitis-associated cancer NLRP3 suppresses colitis-associated cancer
articles.I-N,J_Exp_Med,J_Exp_Med_2001_Nov_5_194(9)_1325-1338.nxml,Resistance to Granzyme B-mediated Cytochrome c Release in Bak-deficient Cells,the journal of experimental medicine,RPG-98-288-01-CIM,71,Resistance to granzyme B-mediated cytochrome c release in Bak-deficient cells
articles.I-N,J_Exp_Med,J_Exp_Med_2012_Sep_24_209(10)_1869-1882.nxml,Cancer immunoediting by the innate immune system in the absence of adaptive immunity Tumor editing by macrophages and NK cells,the journal of experimental medicine,ACS-IRG #70-002,42,Cancer immunoediting by the innate immune system in the absence of adaptive immunity Tumor editing by macrophages and NK cells
articles.I-N,J_Exp_Med,J_Exp_Med_2004_Jun_7_199(11)_1513-1522.nxml,Nuclear Factor of Activated T Cells Balances Angiogenesis Activation and Inhibition,the journal of experimental medicine,RSG-01-099-01-CSM,114,Nuclear factor of activated T cells balances angiogenesis activation and inhibition
articles.I-N,J_Exp_Med,J_Exp_Med_1999_Nov_1_190(9)_1257-1262.nxml,Irradiation-Mediated Rescue of T CellSpecific V(D)j Recombination and Thymocyte Differentiation in Severe Combined Immunodeficient Mice by Bone Marrow Cells,the journal of experimental medicine,RPG-95-027-04,3,Irradiation-mediated Rescue of T Cell–specific V (D) J Recombination and Thymocyte Differentiation in Severe Combined Immunodeficient Mice by Bone Marrow  …
articles.I-N,J_Exp_Med,J_Exp_Med_2012_May_7_209(5)_955-963.nxml,Artemis C-terminal region facilitates V(D)J recombination through its interactions with DNA Ligase IV and DNA-PKcs Role of Artemis C terminus in V(D)J recombination,the journal of experimental medicine,RSG-04-191-01,14,Artemis C-terminal region facilitates V(D)J recombination through its interactions with DNA Ligase IV and DNA-PKcs Role of Artemis C terminus in V(D)J recombination
articles.I-N,J_Exp_Med,J_Exp_Med_2011_May_9_208(5)_1001-1013.nxml,The lineage-defining factors T-bet and Bcl-6 collaborate to regulate Th1 gene expression patterns T-bet and Bcl-6 cooperate to repress transcription,the journal of experimental medicine,RSG-09-045-01-DDC,48,The lineage-defining factors T-bet and Bcl-6 collaborate to regulate Th1 gene expression patterns T-bet and Bcl-6 cooperate to repress transcription
articles.I-N,J_Exp_Med,J_Exp_Med_1998_May_4_187(9)_1505-1516.nxml,Evidence That the Autoimmune Antigen Myelin Basic Protein (MBP) Ac1-9 Binds Towards One End of the Major Histocompatibility Complex (MHC) Cleft,the journal of experimental medicine,PF-4220,40,Evidence That the Autoimmune Antigen Myelin Basic Protein (MBP) Ac1-9 Binds Towards One End of the Major Histocompatibility Complex (MHC) Cleft
articles.I-N,J_Exp_Med,J_Exp_Med_2005_May_16_201(10)_1591-1602.nxml,Recruitment of latent pools of high-avidity CD8 + T cells to the antitumor immune response,the journal of experimental medicine,RSG-01-080-01-LIB,314,Recruitment of latent pools of high-avidity CD8+ T cells to the antitumor immune response
articles.I-N,J_Exp_Med,J_Exp_Med_1997_Nov_17_186(10)_1655-1662.nxml,Murine Transporter Associated with Antigen Presentation (TAP) Preferences Influence Class Irestricted T Cell Responses,the journal of experimental medicine,IM-726,28,Murine Transporter Associated with Antigen Presentation (TAP) Preferences Influence Class Irestricted T Cell Responses
articles.I-N,J_Exp_Med,J_Exp_Med_2005_Oct_3_202(7)_955-965.nxml,TIM-2 is expressed on B cells and in liver and kidney and is a receptor for H-ferritin endocytosis,the journal of experimental medicine,RSG-01-167-01-LIB,106,TIM-2 is expressed on B cells and in liver and kidney and is a receptor for H-ferritin endocytosis
articles.I-N,J_Exp_Med,J_Exp_Med_2003_Sep_1_198(5)_771-781.nxml,The IB Function of NF-B2 p100 Controls Stimulated Osteoclastogenesis,the journal of experimental medicine,IRG-58-010-44,171,The IκB function of NF-κB2 p100 controls stimulated osteoclastogenesis
articles.I-N,J_Exp_Med,J_Exp_Med_1997_Jul_21_186(2)_229-238.nxml,Antigenic Cancer Cells Grow Progressively in Immune Hosts without Evidence for T Cell Exhaustion or Systemic Anergy,the journal of experimental medicine,IM-773,188,Antigenic Cancer Cells Grow Progressively in Immune Hosts without Evidence for T Cell Exhaustion or Systemic Anergy
articles.I-N,J_Exp_Med,J_Exp_Med_1999_Nov_1_190(9)_1343-1350.nxml,Suppression of T and B Lymphocyte Activation by a Yersinia pseudotuberculosis Virulence Factor  Yoph,the journal of experimental medicine,PF-4477,126,Suppression of T and B Lymphocyte Activation by a Yersinia pseudotuberculosis Virulence Factor  Yoph
articles.I-N,J_Exp_Med,J_Exp_Med_2007_Jun_11_204(6)_1371-1381.nxml,Defects in coding joint formation in vivo in developing ATM-deficient B and T lymphocytes,the journal of experimental medicine,RSG-05-070-01-LIB,35,Defects in coding joint formation in vivo in developing ATM-deficient B and T lymphocytes
articles.I-N,J_Exp_Med,J_Exp_Med_2007_Jan_22_204(1)_129-139.nxml,Hematopoietic reconstitution by multipotent adult progenitor cells: precursors to long-term hematopoietic stem cells,the journal of experimental medicine,PF-04-087-01-LIB,100,Hematopoietic reconstitution by multipotent adult progenitor cells: precursors to long-term hematopoietic stem cells
articles.I-N,J_Exp_Med,J_Exp_Med_1999_Apr_19_189(8)_1229-1242.nxml,Signal Transducer and Activator of Transcription (STAT)5 Activation by BCR/ABL Is Dependent on Intact Src Homology (SH)3 and SH2 Domains of BCR/ABL and Is Required for Leukemogenesis,the journal of experimental medicine,RPG-98-348-01-LBC,241,Signal Transducer and Activator of Transcription (STAT)5 Activation by BCR/ABL Is Dependent on Intact Src Homology (SH)3 and SH2 Domains of BCR/ABL and Is Required for Leukemogenesis
articles.I-N,J_Exp_Med,J_Exp_Med_2001_Jan_15_193(2)_195-206.nxml,The Immunogenicity of a New Human Minor Histocompatibility Antigen Results from Differential Antigen Processing,the journal of experimental medicine,RPG-98-036-01-CIM,188,The immunogenicity of a new human minor histocompatibility antigen results from differential antigen processing
articles.I-N,J_Exp_Med,J_Exp_Med_2008_Apr_14_205(4)_951-966.nxml,Leukocyte transmigration requires kinesin-mediated microtubule-dependent membrane trafficking from the lateral border recycling compartment,the journal of experimental medicine,RSG-06-142-01-CSM,55,Leukocyte transmigration requires kinesin-mediated microtubule-dependent membrane trafficking from the lateral border recycling compartment
articles.I-N,J_Exp_Med,J_Exp_Med_2002_Apr_1_195(7)_931-940.nxml,Identification of the In Vivo Role of a Viral bcl-2,the journal of experimental medicine,RPG-97-134-01-MBC,104,Identification of the in vivo role of a viral bcl-2
articles.I-N,J_Exp_Med,J_Exp_Med_2000_Jun_5_191(11)_1895-1904.nxml,In Vivo Identification of Glycolipid AntigenSpecific T Cells Using Fluorescent Cd1d Tetramers,the journal of experimental medicine,IM 788,458,In Vivo Identification of Glycolipid AntigenSpecific T Cells Using Fluorescent Cd1d Tetramers
articles.I-N,J_Exp_Med,J_Exp_Med_2000_Oct_16_192(8)_1093-1104.nxml,Combined Stimulation with the T Helper Cell Type 2 Cytokines Interleukin (Il)-4 and IL-10 Induces Mouse Mast Cell Apoptosis,the journal of experimental medicine,IN-105,77,Combined Stimulation with the T Helper Cell Type 2 Cytokines Interleukin (Il)-4 and IL-10 Induces Mouse Mast Cell Apoptosis
articles.I-N,J_Exp_Med,J_Exp_Med_1999_Sep_6_190(5)_681-690.nxml,Abnormal Chemokine-Induced Responses of Immature and Mature Hematopoietic Cells from Motheaten Mice Implicate the Protein Tyrosine Phosphatase Shp-1 in Chemokine Responses,the journal of experimental medicine,RPG-98-273-01-TBE,91,…  chemokine-induced responses of immature and mature hematopoietic cells from motheaten mice implicate the protein tyrosine phosphatase SHP-1 in chemokine  …
articles.I-N,J_Exp_Med,J_Exp_Med_2005_Mar_21_201(6)_853-858.nxml,Granulocyte/macrophage colony-stimulating factor and accessory cells modulate radioprotection by purified hematopoietic cells,the journal of experimental medicine,RSG-96-104-06,9,Granulocyte/macrophage colony-stimulating factor and accessory cells modulate radioprotection by purified hematopoietic cells
articles.I-N,J_Exp_Med,J_Exp_Med_2011_Sep_26_208(10)_1931-1935.nxml,Oncogenic and tumor suppressor functions of Notch in cancer: its NOTCH what you think Dual role of notch signaling in cancer,the journal of experimental medicine,RSG0806801,89,Oncogenic and tumor suppressor functions of Notch in cancer: its NOTCH what you think Dual role of notch signaling in cancer
articles.I-N,J_Exp_Med,J_Exp_Med_2000_Jan_17_191(2)_335-346.nxml,Critical Role for Cd8 in T Cell Receptor Binding and Activation by Peptide/Major Histocompatibility Complex Multimers,the journal of experimental medicine,JFRA-639 & RPG-99-264,225,Critical Role for Cd8 in T Cell Receptor Binding and Activation by Peptide/Major Histocompatibility Complex Multimers
articles.I-N,J_Exp_Med,J_Exp_Med_2012_Jul_30_209(8)_1427-1435.nxml,The chemoattractant chemerin suppresses melanoma by recruiting natural killer cell antitumor defenses Chemerin is a natural tumor-suppressive cytokine,the journal of experimental medicine,PF-12-052-01-CSM,15,The chemoattractant chemerin suppresses melanoma by recruiting natural killer cell antitumor defenses Chemerin is a natural tumor-suppressive cytokine
articles.I-N,J_Exp_Med,J_Exp_Med_1999_Sep_20_190(6)_885-890.nxml,Selection and Expansion of CD8/ 1 T Cell Receptor / 1 Intestinal Intraepithelial Lymphocytes in the Absence of Both Classical Major Histocompatibility Complex Class I and Nonclassical Cd1 Molecules,the journal of experimental medicine,IM 788,74,Selection and Expansion of CD8/ 1 T Cell Receptor / 1 Intestinal Intraepithelial Lymphocytes in the Absence of Both Classical Major Histocompatibility Complex Class I and Nonclassical Cd1 Molecules
articles.I-N,J_Exp_Med,J_Exp_Med_2000_Dec_18_192(12)_1745-1754.nxml,Antigen-Independent Appearance of Recombination Activating Gene (Rag)-Positive Bone Marrow B Cells in the Spleens of Immunized Mice,the journal of experimental medicine,PF-99-125-01-CIM,54,Antigen-Independent Appearance of Recombination Activating Gene (Rag)-Positive Bone Marrow B Cells in the Spleens of Immunized Mice
articles.I-N,J_Exp_Med,J_Exp_Med_2008_Jun_9_205(6)_1395-1408.nxml,Control of hematopoietic stem cell quiescence by the E3 ubiquitin ligase Fbw7,the journal of experimental medicine,RSG-08-068-01,76,Control of hematopoietic stem cell quiescence by the E3 ubiquitin ligase Fbw7
articles.I-N,J_Exp_Med,J_Exp_Med_2001_Mar_19_193(6)_f23-f26.nxml,Inflammatory Cells and Cancer Think Different!,the journal of experimental medicine,AC-04-02,377,Inflammatory Cells and Cancer Think Different!
articles.I-N,J_Exp_Med,J_Exp_Med_2011_Aug_29_208(9)_1901-1916.nxml,Coordinate regulation of tissue macrophage and dendritic cell population dynamics by CSF-1 CSF-1 links M and DC population dynamics,the journal of experimental medicine,RSG-10-158-01-LIB,28,Coordinate regulation of tissue macrophage and dendritic cell population dynamics by CSF-1 CSF-1 links Mϕ and DC population dynamics
articles.I-N,J_Exp_Med,J_Exp_Med_2003_Dec_15_198(12)_1797-1806.nxml,Interleukin 7 Regulates the Survival and Generation of Memory CD4 Cells,the journal of experimental medicine,PF-02-121-01,372,Interleukin 7 regulates the survival and generation of memory CD4 cells
articles.I-N,J_Exp_Med,J_Exp_Med_1998_Jan_19_187(2)_259-264.nxml,A Novel Mechanism for B Cell Repertoire Maturation Based on Response by B Cell Precursors to PreB Receptor Assembly,the journal of experimental medicine,DHP-82594,84,A Novel Mechanism for B Cell Repertoire Maturation Based on Response by B Cell Precursors to PreB Receptor Assembly
articles.O-Z,Prostate_Cancer,Prostate_Cancer_2013_Feb_13_2013_560857.nxml,Global Patterns of Prostate Cancer Incidence  Aggressiveness  and Mortality in Men of African Descent,prostate cancer,TURSG-03-152-01-CCE,19,Global patterns of prostate cancer incidence  aggressiveness  and mortality in men of African descent
articles.O-Z,Oncoimmunology,Oncoimmunology_2013_Apr_1_2(4)_e23849.nxml,TIM3 + FOXP3 + regulatory T cells are tissue-specific promoters of T-cell dysfunction in cancer,oncoimmunology,RSG-11-057-01-LIB,6,TIM3+ FOXP3+ regulatory T cells are tissue-specific promoters of T-cell dysfunction in cancer
articles.O-Z,Oncoimmunology,Oncoimmunology_2012_May_1_1(3)_340-345.nxml,Breaking the tolerance for tumor Targeting negative regulators of TLR signaling,oncoimmunology,RSG-CSM-116801,2,Breaking the tolerance for tumor Targeting negative regulators of TLR signaling
articles.O-Z,Oncoimmunology,Oncoimmunology_2013_Apr_1_2(4)_e24117.nxml,Myeloid derived suppressor cells Targets for therapy,oncoimmunology,RP-10-033-01-CCE,6,Myeloid derived suppressor cells Targets for therapy
articles.O-Z,Springerplus,Springerplus_2012_Oct_3_1_24.nxml,Breast cancer patients recall of receiving patient assistance services,springerplus,CCCDA-10-084-01,1,Breast cancer patients' recall of receiving patient assistance services
articles.O-Z,Sci_Rep,Sci_Rep_2013_Aug_20_3_2473.nxml,Nonlinear Growth Kinetics of Breast Cancer Stem Cells: Implications for Cancer Stem Cell Targeted Therapy,scientific reports,RSG-10-067-01-TBE,0,Nonlinear Growth Kinetics of Breast Cancer Stem Cells: Implications for Cancer Stem Cell Targeted Therapy
articles.O-Z,Sci_Rep,Sci_Rep_2014_May_30_4_5080.nxml,Engineering of Hollow Mesoporous Silica Nanoparticles for Remarkably Enhanced Tumor Active Targeting Efficacy,scientific reports,RSG-13-099-01-CCE,0,Engineering of Hollow Mesoporous Silica Nanoparticles for Remarkably Enhanced Tumor Active Targeting Efficacy
articles.O-Z,Sci_Rep,Sci_Rep_2014_Jan_24_4_3846.nxml,Epigenetic silencing of ARRDC3 expression in basal-like breast cancer cells,scientific reports,RSG-09-091-01-CSM,1,Epigenetic silencing of ARRDC3 expression in basal-like breast cancer cells
articles.O-Z,Theranostics,Theranostics_2014_Jan_24_4(3)_290-306.nxml,Radiolabeled Nanoparticles for Multimodality Tumor Imaging,theranostics,IRG-58-007-51,1,Radiolabeled nanoparticles for multimodality tumor imaging
articles.O-Z,Theranostics,Theranostics_2014_May_24_4(8)_770-777.nxml,64 Cu Labeled Sarcophagine Exendin-4 for MicroPET Imaging of Glucagon like Peptide-1 Receptor Expression,theranostics,MRSG-12-034-01-CCE,0,64Cu Labeled Sarcophagine Exendin-4 for MicroPET Imaging of Glucagon like Peptide-1 Receptor Expression
articles.O-Z,Theranostics,Theranostics_2013_Jun_29_3(7)_507-515.nxml,Urokinase Plasminogen Activator Receptor (uPAR) Targeted Nuclear Imaging and Radionuclide Therapy,theranostics,MSRG-12-034-01-CCE,4,Urokinase plasminogen activator receptor (uPAR) targeted nuclear imaging and radionuclide therapy
articles.O-Z,Theranostics,Theranostics_2013_Feb_21_3(3)_181-189.nxml,Lewis Acid-Assisted Isotopic 18 F- 19 F Exchange in BODIPY Dyes: Facile Generation of Positron Emission Tomography/Fluorescence Dual Modality Agents for Tumor Imaging,theranostics,MRSG-12-034-01-CCE,10,Lewis acid-assisted isotopic 18F-19F exchange in BODIPY dyes: facile generation of positron emission tomography/fluorescence dual modality agents for  …
articles.O-Z,Theranostics,Theranostics_2014_Jan_29_4(4)_386-398.nxml,Nanobody: The Magic Bullet for Molecular Imaging?,theranostics,RSG-13-099-01-CCE,0,Nanobody: The “Magic Bullet” for Molecular Imaging?
articles.O-Z,Theranostics,Theranostics_2013_Nov_2_3(11)_894-902.nxml,Positron Emission Tomography Imaging of Atherosclerosis,theranostics,RSG-13-099-01-CCE,2,Positron Emission Tomography Imaging of Atherosclerosis
